"","C1q Macrophage","Spp1 Macrophage","Angio Macrophage","Monocyte","Inflammatory Mono","cDC1","cDC2","pDC","MDSC","B cell","Naive T cell","CD4 T cell","Treg","CD8 T cell","Gd T cell","NK cell","Tumour","Tumour.p","Fibroblast","Endothelial"
"JAM",0.199047079455913,0.126068866746198,0.0972430943850324,0.40536622123345,0.0763433242561058,NA,0.175772994887369,0.2530039311047,NA,NA,NA,0.104339087684058,0.238701748992369,0.479049311315025,0.277413281849163,0.343614968095037,0.150321339189089,0.134022235357057,0.289291989405758,1
"LAIR1",0.648905176645053,0.91514345076979,0.921677296822124,0.80676524090238,0.892900530697588,0.239170297870782,0.66702938101503,NA,1,NA,NA,NA,0.187877870854807,NA,NA,NA,NA,NA,NA,NA
"VISFATIN",0.380243329813361,0.549666199810126,0.524739117287733,0.491610041774479,0.391370308328735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691876452677728,1,0.472095176970093,0.580265878575219
"PECAM1",NA,NA,NA,NA,NA,NA,NA,0.733921174111853,0.318074951215074,0.284693542512214,0.263771152146142,0.266028342012924,0.202174134616569,NA,0.148444626193482,NA,NA,NA,NA,1
"SEMA4",0.632264478186696,0.229148255095358,NA,0.236712278394873,NA,NA,NA,0.096426422548395,NA,NA,NA,NA,0.021482373285473,NA,NA,NA,0.0103286007632851,0.230330842364004,1,0.236728310031921
"CXCL",NA,NA,0.00546391339139581,NA,NA,NA,NA,0.0286605705843625,1,0.00696845392436276,NA,0.113519714620991,0.0105596655734211,0.24417101464749,0.0172035368993633,NA,NA,NA,NA,0.00327262846764097
"CSF",1,0.846094458435431,0.817475969967372,0.812875709720035,0.735522617497157,NA,0.184637347455608,NA,0.00492322992568714,NA,NA,NA,NA,NA,NA,NA,0.0872924893617598,0.0903514154237296,NA,NA
"CD48",0.231264115716844,0.643189765356161,0.428793762068466,0.730136156477871,0.616922843971388,0.294860870487691,0.285074449101135,0.595134563344002,NA,NA,0.0893857469597977,NA,0.54919485864449,0.69705099622315,0.482748244268227,1,NA,NA,NA,NA
"LCK",0.159339438593587,0.140830219045092,0.130612176552784,0.14700222248808,0.160528810597562,0.161925555762798,0.169946709368812,0.540558927336399,0.117165581357319,0.168373792904946,0.341196322003294,0.179911775523695,0.190244380630308,1,0.627559262237488,0.175234323701494,0.0186219660220436,0.0159826465488666,0.142387884668824,0.137435785843039
"GAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67091517471492,0.796475363769892,0.242892376062807,1
"IFN-I",0.436042579317857,0.835711680073172,0.500345921702021,0.451023562121356,0.869091360981947,NA,0.238752518149083,1,NA,NA,NA,0.315628487982759,NA,NA,NA,NA,NA,NA,0.363143822344308,0.234653051405845
"IL2",0.106122156876579,0.522940313985347,0.441844699532369,0.136762005865735,0.231444270212011,0.0923879035441115,0.434762271460311,1,NA,NA,0.687543707185029,0.863719435461997,0.950875750216053,0.160930013573292,0.768290097223847,NA,NA,NA,NA,NA
"PD-L1",NA,NA,NA,NA,NA,NA,0.137646696409,NA,NA,NA,NA,0.23121159388466,1,0.837831782937835,NA,NA,NA,NA,NA,NA
"CD39",NA,1,NA,0.41740465804362,0.403479654253573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329765384709127,NA,NA,NA,NA
"CLEC",NA,NA,NA,NA,NA,0.127880382570633,0.116960589244268,NA,NA,NA,NA,NA,NA,NA,0.0986236011511981,1,NA,NA,NA,NA
"NKG2D",NA,NA,NA,NA,NA,NA,NA,0.155965040042823,NA,NA,NA,NA,NA,0.577422637338055,0.641300647005182,1,NA,NA,NA,NA
"ADGRG",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56796385321768,0.550065992630851,NA,NA
"CD52",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANNEXIN",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PECAM2",NA,1,NA,0.747235915378408,0.668247501807159,NA,NA,0.880263385233853,NA,NA,NA,NA,NA,0.71753367635958,NA,NA,0.379154572337028,NA,NA,0.73791076578962
