gene,term_id
FN1,REACTOME:R-HSA-6802957
FN1,REACTOME:R-HSA-6806834
FN1,REACTOME:R-HSA-76002
FN1,REACTOME:R-HSA-76005
FN1,REACTOME:R-HSA-76009
FN1,REACTOME:R-HSA-8874081
FN1,REACTOME:R-HSA-8875878
FN1,REACTOME:R-HSA-8953897
FN1,REACTOME:R-HSA-8957275
FN1,REACTOME:R-HSA-9006934
FN1,REACTOME:R-HSA-9634597
FN1,REACTOME:R-HSA-9638630
FN1,REACTOME:R-HSA-9640148
FN1,REACTOME:R-HSA-9649948
FN1,REACTOME:R-HSA-9656223
FN1,REACTOME:R-HSA-9700206
FN1,REACTOME:R-HSA-9700645
FN1,REACTOME:R-HSA-9725370
FN1,REACTOME:R-HSA-9734767
FN1,REACTOME:R-HSA-9820448
FN1,REACTOME:R-HSA-9824439
FN1,REACTOME:R-HSA-9855142
FN1,REACTOME:R-HSA-9860927
FN1,REACTOME:R-HSA-9860931
FN1,REACTOME:R-HSA-9925563
FN1,REACTOME:R-HSA-9931953
GPNMB,REACTOME:R-HSA-162582
GPNMB,REACTOME:R-HSA-8848021
GPNMB,REACTOME:R-HSA-8857538
GPNMB,REACTOME:R-HSA-9006927
HDLBP,REACTOME:R-HSA-1643685
HDLBP,REACTOME:R-HSA-174824
HDLBP,REACTOME:R-HSA-382551
HDLBP,REACTOME:R-HSA-5663205
HDLBP,REACTOME:R-HSA-8964011
HDLBP,REACTOME:R-HSA-8964043
HDLBP,REACTOME:R-HSA-9824446
HDLBP,REACTOME:R-HSA-9839923
HDLBP,REACTOME:R-HSA-9918487
HK2,REACTOME:R-HSA-1430728
HK2,REACTOME:R-HSA-70171
HK2,REACTOME:R-HSA-70326
HK2,REACTOME:R-HSA-71387
HNRNPA2B1,REACTOME:R-HSA-1280215
HNRNPA2B1,REACTOME:R-HSA-1643685
HNRNPA2B1,REACTOME:R-HSA-168256
HNRNPA2B1,REACTOME:R-HSA-447115
HNRNPA2B1,REACTOME:R-HSA-449147
HNRNPA2B1,REACTOME:R-HSA-5663205
HNRNPA2B1,REACTOME:R-HSA-72163
HNRNPA2B1,REACTOME:R-HSA-72172
HNRNPA2B1,REACTOME:R-HSA-72187
HNRNPA2B1,REACTOME:R-HSA-72203
HNRNPA2B1,REACTOME:R-HSA-8950505
HNRNPA2B1,REACTOME:R-HSA-8953854
HNRNPA2B1,REACTOME:R-HSA-9020591
HNRNPA2B1,REACTOME:R-HSA-9770562
HNRNPA2B1,REACTOME:R-HSA-9824446
HNRNPA2B1,REACTOME:R-HSA-9839923
HNRNPA2B1,REACTOME:R-HSA-9918481
HSPA9,REACTOME:R-HSA-1268020
HSPA9,REACTOME:R-HSA-1280215
HSPA9,REACTOME:R-HSA-1428517
HSPA9,REACTOME:R-HSA-1430728
HSPA9,REACTOME:R-HSA-1592230
HSPA9,REACTOME:R-HSA-168256
HSPA9,REACTOME:R-HSA-1852241
HSPA9,REACTOME:R-HSA-2262752
HSPA9,REACTOME:R-HSA-3371453
HSPA9,REACTOME:R-HSA-3371556
HSPA9,REACTOME:R-HSA-392499
HSPA9,REACTOME:R-HSA-447115
HSPA9,REACTOME:R-HSA-449147
HSPA9,REACTOME:R-HSA-611105
HSPA9,REACTOME:R-HSA-6799198
HSPA9,REACTOME:R-HSA-8949613
HSPA9,REACTOME:R-HSA-8950505
HSPA9,REACTOME:R-HSA-8953897
HSPA9,REACTOME:R-HSA-9020591
HSPA9,REACTOME:R-HSA-9609507
HSPA9,REACTOME:R-HSA-9837999
HSPA9,REACTOME:R-HSA-9841251
HSPA9,REACTOME:R-HSA-9865881
IFITM2,REACTOME:R-HSA-1280215
IFITM2,REACTOME:R-HSA-168256
IFITM2,REACTOME:R-HSA-909733
IFITM2,REACTOME:R-HSA-913531
IL7R,REACTOME:R-HSA-1266695
IL7R,REACTOME:R-HSA-1280215
IL7R,REACTOME:R-HSA-168256
IL7R,REACTOME:R-HSA-199991
IL7R,REACTOME:R-HSA-449147
IL7R,REACTOME:R-HSA-5653656
IL7R,REACTOME:R-HSA-8856825
IL7R,REACTOME:R-HSA-8856828
IMMT,REACTOME:R-HSA-1592230
IMMT,REACTOME:R-HSA-1852241
IMMT,REACTOME:R-HSA-8949613
INHBA,REACTOME:R-HSA-1502540
INHBA,REACTOME:R-HSA-162582
INHBA,REACTOME:R-HSA-201451
INHBA,REACTOME:R-HSA-209822
INHBA,REACTOME:R-HSA-209952
INHBA,REACTOME:R-HSA-2473224
INHBA,REACTOME:R-HSA-2980736
INHBA,REACTOME:R-HSA-392499
INHBA,REACTOME:R-HSA-9006936
INHBA,REACTOME:R-HSA-9839373
INHBA,REACTOME:R-HSA-9839406
ITGAM,REACTOME:R-HSA-109582
ITGAM,REACTOME:R-HSA-1280215
ITGAM,REACTOME:R-HSA-1474244
ITGAM,REACTOME:R-HSA-166016
ITGAM,REACTOME:R-HSA-168249
ITGAM,REACTOME:R-HSA-168256
ITGAM,REACTOME:R-HSA-168898
ITGAM,REACTOME:R-HSA-202733
ITGAM,REACTOME:R-HSA-216083
ITGAM,REACTOME:R-HSA-449147
ITGAM,REACTOME:R-HSA-6785807
ITGAM,REACTOME:R-HSA-6798695
LGALS3,REACTOME:R-HSA-168249
LGALS3,REACTOME:R-HSA-168256
LGALS3,REACTOME:R-HSA-212436
LGALS3,REACTOME:R-HSA-6798695
LGALS3,REACTOME:R-HSA-73857
LGALS3,REACTOME:R-HSA-74160
LGALS3,REACTOME:R-HSA-879415
LGALS3,REACTOME:R-HSA-8878166
LGALS3,REACTOME:R-HSA-8878171
LGALS3,REACTOME:R-HSA-8939246
LGALS3,REACTOME:R-HSA-8941333
LHFPL2,REACTOME:R-HSA-109582
LHFPL2,REACTOME:R-HSA-114608
LHFPL2,REACTOME:R-HSA-76002
LHFPL2,REACTOME:R-HSA-76005
LRP10,REACTOME:R-HSA-1430728
LRP10,REACTOME:R-HSA-196854
LRP10,REACTOME:R-HSA-2187338
LRP10,REACTOME:R-HSA-6806667
LRP10,REACTOME:R-HSA-9709957
LRP10,REACTOME:R-HSA-975634
MITF,REACTOME:R-HSA-1266738
MITF,REACTOME:R-HSA-2990846
MITF,REACTOME:R-HSA-3108232
MITF,REACTOME:R-HSA-3232118
MITF,REACTOME:R-HSA-392499
MITF,REACTOME:R-HSA-597592
MITF,REACTOME:R-HSA-9730414
MITF,REACTOME:R-HSA-9824585
MITF,REACTOME:R-HSA-9824594
MITF,REACTOME:R-HSA-9825892
MITF,REACTOME:R-HSA-9825895
MITF,REACTOME:R-HSA-9854907
MITF,REACTOME:R-HSA-9854909
MITF,REACTOME:R-HSA-9856649
MITF,REACTOME:R-HSA-9856651
MITF,REACTOME:R-HSA-9857377
MITF,REACTOME:R-HSA-9926550
MTHFD1L,REACTOME:R-HSA-1430728
MTHFD1L,REACTOME:R-HSA-196757
MTHFD1L,REACTOME:R-HSA-196849
MTHFD1L,REACTOME:R-HSA-196854
PFKP,REACTOME:R-HSA-1430728
PFKP,REACTOME:R-HSA-70171
PFKP,REACTOME:R-HSA-70326
PFKP,REACTOME:R-HSA-71387
PKM,REACTOME:R-HSA-1428517
